PinNumber	PinName_P3BB	Padstack	X Coordinate	Y Coordinate	Rotation	Pin Use	NetName					
170	VDDE18	P3_PAD	2380.28	4718.07	0	POWER	VDDE18					
171	VDDE18	P3_PAD	2324.03	4718.07	0	POWER	VDDE18					
172	VSSE	P3_PAD	2267.78	4718.07	0	GROUND	VSS					
173	VSSE	P3_PAD	2211.53	4718.07	0	GROUND	VSS					
174	ts_data_7_gpio	P3_PAD	2155.28	4718.07	0	BI	NC					
175	ts_clk_out_sdio_clk	P3_PAD	2099.03	4718.07	0	BI	SDIO_CLK					
176	ts_sop_sdio_data1	P3_PAD	2042.78	4718.07	0	BI	SDIO_DATA1					
177	ts_valid_sdio_cmd	P3_PAD	1986.53	4718.07	0	BI	SDIO_CMD					
178	VSS	P3_PAD	1930.28	4718.07	0	GROUND	VSS					
179	VSS	P3_PAD	1874.03	4718.07	0	GROUND	VSS					
180	VDD	P3_PAD	1817.78	4718.07	0	POWER	VDD					
181	VDD	P3_PAD	1761.53	4718.07	0	POWER	VDD					
182	VDD	P3_PAD	1114.65	4718.07	0	POWER	VDD					
183	VDD	P3_PAD	1058.4	4718.07	0	POWER	VDD					
184	VSS	P3_PAD	1002.15	4718.07	0	GROUND	VSS					
185	VSS	P3_PAD	945.9	4718.07	0	GROUND	VSS					
186	VDDE18	P3_PAD	889.65	4718.07	0	POWER	VDDE18					
187	VDDE18	P3_PAD	833.4	4718.07	0	POWER	VDDE18					
188	POPT1	P3_PAD	777.15	4718.07	0	POWER	VDDE18					
189	VSSE	P3_PAD	720.9	4718.07	0	GROUND	VSS					
190	VSSE	P3_PAD	664.65	4718.07	0	GROUND	VSS					
191	POPT2	P3_PAD	608.4	4718.07	0	GROUND	VSS					
192	test_mode_1	P3_PAD	552.15	4718.07	0	BI	TEST_MODE_1					
193	test_mode_0	P3_PAD	495.9	4718.07	0	BI	TEST_MODE_0					
194	spim_csn2_gpio_i2csaddr2	P3_PAD	439.65	4718.07	0	BI	I2C_ADD2					
195	spim_miso_gpio	P3_PAD	383.4	4718.07	0	BI	SPIM_MISO					
196	VSS	P3_PAD	327.15	4718.07	0	GROUND	VSS					
197	VSS	P3_PAD	270.9	4718.07	0	GROUND	VSS					
198	VDD	P3_PAD	214.65	4718.07	0	POWER	VDD					
199	VDD	P3_PAD	158.4	4718.07	0	POWER	VDD					
200	VDDE18	P3_PAD	76.05	4640.85	0	POWER	VDDE18					
201	VDDE18	P3_PAD	76.05	4585.05	0	POWER	VDDE18					
202	VSSE	P3_PAD	76.05	4529.25	0	GROUND	VSS					
203	VSSE	P3_PAD	76.05	4473.45	0	GROUND	VSS					
204	spim_mosi_i2cm_sda	P3_PAD	76.05	4417.65	0	BI	I2CM_SDA					
205	spim_mosi_tserr_gpio_i2csaddr3	P3_PAD	76.05	4361.85	0	BI	I2C_ADD3					
206	spim_clk_i2cm_scl	P3_PAD	76.05	4306.05	0	BI	I2CM_SCL					
207	spim_csn1_spim_clk_gpio	P3_PAD	76.05	4250.25	0	BI	SPIM_CS1					
208	VSS	P3_PAD	76.05	4194.45	0	GROUND	VSS					
209	VSS	P3_PAD	76.05	4138.65	0	GROUND	VSS					
210	VDD	P3_PAD	76.05	4082.85	0	POWER	VDD					
211	VDD	P3_PAD	76.05	4027.05	0	POWER	VDD					
212	sproc_spim_csn0_sproc_spis_csn0_gpio	P3_PAD	76.05	3971.25	0	BI	NC					
213	sproc_spim_csn1_gpio	P3_PAD	76.05	3915.45	0	BI	NC					
214	sproc_spim_miso_sproc_spis_mosi_gpio	P3_PAD	76.05	3859.65	0	BI	NC					
215	sproc_spim_sclk_sproc_spis_sclk	P3_PAD	76.05	3803.85	0	BI	TUNER_RESET					
216	sproc_spim_mosi_sproc_spis_miso_gpio	P3_PAD	76.05	3748.05	0	BI	HARD_PD					
217	osc_bypass	P3_PAD	76.05	3692.25	0	POWER	VDDE18					
218	VDDE18	P3_PAD	76.05	3636.45	0	POWER	VDDE18					
219	VDDE18	P3_PAD	76.05	3580.65	0	POWER	VDDE18					
220	VSSE	P3_PAD	76.05	3524.85	0	GROUND	VSS					
221	VSSE	P3_PAD	76.05	3469.05	0	GROUND	VSS					
222	VSS	P3_PAD	76.05	3413.25	0	GROUND	VSS					
223	VSS	P3_PAD	76.05	3357.45	0	GROUND	VSS					
224	VDD	P3_PAD	76.05	3301.65	0	POWER	VDD					
225	VDD	P3_PAD	76.05	3245.85	0	POWER	VDD					
226	VDD	P3_PAD	76.05	2771.55	0	POWER	VDD					
227	VDD	P3_PAD	76.05	2715.75	0	POWER	VDD					
228	VSS	P3_PAD	76.05	2659.95	0	GROUND	VSS					
229	VSS	P3_PAD	76.05	2604.15	0	GROUND	VSS					
230	VDDE18	P3_PAD	76.05	2548.35	0	POWER	VDDE18					
231	VDDE18	P3_PAD	76.05	2492.55	0	POWER	VDDE18					
232	VSSE	P3_PAD	76.05	2436.75	0	GROUND	VSS					
233	VSSE	P3_PAD	76.05	2380.95	0	GROUND	VSS					
234	VSS	P3_PAD	76.05	2325.15	0	GROUND	VSS					
235	VSS	P3_PAD	76.05	2269.35	0	GROUND	VSS					
236	VDD	P3_PAD	76.05	2213.55	0	POWER	VDD					
237	VDD	P3_PAD	76.05	2157.75	0	POWER	VDD					
238	OTP_AVDD10	P3_PAD	48.15	1666.94	0	POWER	AVDD10_OTP					
239	OTP_AVDD10	P3_PAD	48.15	1611.14	0	POWER	AVDD10_OTP					
240	PRG_OTP_AVDD10	P3_PAD	48.15	1555.34	0	POWER	AVDD10_OTP					
241	PLL_AVDD2	P3_PAD	48.15	1352.93	0	POWER	AVDD10_PLL					
242	PRG_PLL_VOUT	P3_PAD	48.15	1297.13	0	POWER	AVDD10_PLL					
243	OSC_DVDD	P3_PAD	48.15	1241.33	0	POWER	AVDD10_PLL					
244	OSC_DGND	P3_PAD	48.15	1185.53	0	GROUND	XTAL_GND					
245	OSC_GNDH	P3_PAD	48.15	1129.73	0	GROUND	XTAL_GND					
246	xtal_out	P3_PAD	48.15	1073.93	0	BI	NC					
247	xtal_in	P3_PAD	48.15	1018.13	0	BI	DEMOD_CLKIN					
248	OSC_AVDD18	P3_PAD	48.15	962.33	0	POWER	AVDD18_PLL					
249	PLL_AVDD	P3_PAD	48.15	890.25	0	POWER	AVDD18_PLL					
250	PRG_PLL_AVDD	P3_PAD	48.15	834.45	0	POWER	AVDD18_PLL					
251	PRG_PLL_AVSS	P3_PAD	48.15	778.65	0	GROUND	AGND_PLL					
252	PLL_AVSS2	P3_PAD	48.15	722.85	0	GROUND	AGND_PLL					
253	PLL_AVSS	P3_PAD	48.15	667.05	0	GROUND	AGND_PLL					
254	VSS	P3_PAD	48.15	611.25	0	GROUND	VSS					
255	VSS	P3_PAD	48.15	156.71	0	GROUND	VSS					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
